Match;1;Team1;DE;Score;251;Team2;S2D;Score;229
Name;A;K;D;N;Name;A;K;D;N
Ragnor;12;15;9;423;electrino;11;12;11;257
Toni;11;4;9;-207;Goos;13;5;9;-91
hobo;9;5;8;-34;Akolyth;14;4;11;-541
Match;2;Team1;DE;Score;266;Team2;S2D;Score;302
Name;A;K;D;N;Name;A;K;D;N
Ragnor;11;14;14;189;electrino;17;11;11;135
Toni;14;7;10;-313;Goos;17;7;6;124
hobo;14;4;7;-450;Hellgore;17;11;10;50
Match;3;Team1;DE;Score;304;Team2;S2D;Score;219
Name;A;K;D;N;Name;A;K;D;N
Ragnor;9;20;9;580;electrino;15;7;9;-15
Toni;16;11;9;231;Goos;10;6;12;-590
hobo;18;3;5;81;Hellgore;13;9;13;-509
