Match;1;Team1;CoC;Score;236;Team2;dbxxd;Score;265
Name;A;K;D;N;Name;A;K;D;N
Guglimugli;6;16;10;105;leagman1;6;16;10;383
TatziTatz;13;6;12;201;Atlas;11;5;12;-562
Match;2;Team1;CoC;Score;285;Team2;dbxxd;Score;231
Name;A;K;D;N;Name;A;K;D;N
Guglimugli;6;20;12;801;leagman1;10;9;12;-110
TatziTatz;16;5;7;-204;Atlas;8;9;14;-603
Match;3;Team1;CoC;Score;303;Team2;dbxxd;Score;201
Name;A;K;D;N;Name;A;K;D;N
Guglimugli;15;10;5;570;leagman1;9;9;9;-44
TatziTatz;16;2;6;-217;Atlas;12;5;10;-762
Scy;14;14;10;351;cosax;15;5;10;-156
