Match;1;Team1;STD;Score;146;Team2;CoC;Score;255
Name;S;K;D;N;Name;S;K;D;N
Akolyth;4;5;5;-76;TatziTatz;6;6;5;-226
Goos;3;3;6;-63;Guglimugli;5;6;3;281
Electrino;3;5;7;42;Mercuk;3;3;6;238
Match;2;Team1;STD;Score;251;Team2;CoC;Score;247
Name;S;K;D;N;Name;S;K;D;N
Akolyth;4;5;4;-88;TatziTatz;-1;0;3;-306
Goos;4;4;7;-274;Guglimugli;15;15;6;653
Electrino;5;5;9;38;Mercuk;4;4;6;-194
Match;3;Team1;STD;Score;186;Team2;CoC;Score;272
Name;S;K;D;N;Name;S;K;D;N
Akolyth;-1;2;6;-94;TatziTatz;4;5;2;-170
Goos;2;3;10;-437;Guglimugli;10;11;5;748
Electrino;7;7;10;-191;Mercuk;6;6;7;-79
